iter	Passed	Remaining
402	9347	2249
403	9368	2226
404	9391	2202
405	9419	2180
406	9437	2156
407	9461	2133
408	9481	2109
409	9499	2085
410	9518	2061
411	9532	2036
412	9557	2013
413	9586	1991
414	9605	1967
415	9621	1942
416	9649	1920
417	9666	1896
418	9687	1872
419	9708	1849
420	9730	1825
421	9751	1802
422	9771	1778
423	9791	1755
424	9811	1731
425	9839	1709
426	9865	1686
427	9893	1664
428	9911	1640
429	9929	1616
430	9948	1592
431	9977	1570
432	10004	1547
433	10020	1523
434	10042	1500
435	10067	1477
436	10096	1455
437	10115	1431
438	10143	1409
439	10172	1387
440	10203	1365
441	10234	1343
442	10254	1319
443	10266	1294
444	10286	1271
445	10304	1247
446	10322	1223
447	10353	1201
448	10378	1178
449	10403	1155
450	10423	1132
451	10456	1110
452	10483	1087
453	10504	1064
454	10528	1041
455	10555	1018
456	10578	995
457	10602	972
458	10624	949
459	10648	925
460	10667	902
461	10692	879
462	10716	856
463	10742	833
464	10760	809
465	10783	786
466	10802	763
467	10821	739
468	10843	716
469	10865	693
470	10880	669
471	10899	646
472	10922	623
473	10949	600
474	10972	577
475	10999	554
476	11021	531
477	11049	508
478	11064	485
479	11082	461
480	11103	438
481	11124	415
482	11140	392
483	11162	369
484	11184	345
485	11206	322
486	11225	299
487	11246	276
488	11269	253
489	11284	230
490	11304	207
491	11329	184
492	11351	161
493	11366	138
494	11382	114
495	11402	91
496	11423	68
497	11445	45
498	11469	22
499	11489	0
