iter	Logloss
221	0.6392567335
222	0.6391054063
223	0.6389396595
224	0.6387336913
225	0.6385762642
226	0.6383662669
227	0.6382022276
228	0.6380855233
229	0.6379212843
230	0.6377623167
231	0.6375297001
232	0.6373908306
233	0.6372640919
234	0.6371548898
235	0.6369637771
236	0.6368350946
237	0.6366730536
238	0.6365227291
239	0.6364163135
240	0.6362950861
241	0.636138342
242	0.6359946769
243	0.6358360109
244	0.6356674921
245	0.6354898871
246	0.6353165617
247	0.6351930963
248	0.6350670878
249	0.6348897298
250	0.6347304281
251	0.634534992
252	0.6344210016
253	0.6342651331
254	0.6341163926
255	0.6339826202
256	0.6338593656
257	0.6336631557
258	0.6335327693
259	0.6333917418
260	0.6332094174
261	0.6330869475
262	0.632916376
263	0.6327146803
264	0.6325748989
265	0.6324673862
266	0.6322999391
267	0.6321547081
268	0.6319936807
269	0.6318023863
270	0.6316266596
271	0.6314589364
272	0.6312899962
273	0.6311063821
274	0.6309718722
275	0.6307736279
276	0.6306117249
277	0.6304612223
278	0.6303067089
279	0.6301811182
280	0.6300175767
281	0.6298336138
282	0.6297274344
283	0.6295326996
284	0.6293597848
285	0.6291909863
286	0.6290282731
287	0.6288703809
288	0.6287220038
289	0.6285181827
290	0.6283922868
291	0.6282048943
292	0.6280763317
293	0.6278510975
294	0.6276454817
295	0.6274628122
296	0.6273164586
297	0.6271629406
298	0.6270052374
299	0.6268308948
300	0.6266612389
301	0.6265385764
302	0.6263723719
303	0.6262181854
304	0.6260189529
305	0.625817664
306	0.6256981623
307	0.6255416216
308	0.6253546361
309	0.6251978084
310	0.6250504448
311	0.6248587399
312	0.6247360883
313	0.6246136911
314	0.6244498625
315	0.6243246787
316	0.6241877202
317	0.6240610468
318	0.6238922628
319	0.6237456803
320	0.6235989925
321	0.6234496925
322	0.6232396625
323	0.6230684444
324	0.6229552569
325	0.6227542805
326	0.6225937217
327	0.6224141148
328	0.622259111
329	0.6221349444
330	0.6219430469
331	0.6218375869
332	0.6216779618
333	0.6215352849
334	0.6213956197
335	0.6212409828
336	0.621104017
337	0.6209680612
338	0.6208147394
339	0.6206691233
340	0.6205368732
341	0.6204029556
342	0.6202521297
343	0.6201015836
344	0.6199917276
345	0.6198340825
346	0.6196621958
347	0.6195177605
348	0.619382059
349	0.6192534165
350	0.6191034444
351	0.6189799536
352	0.6188747806
353	0.6187252008
354	0.6186235373
355	0.6184776197
356	0.618354514
357	0.6181732723
358	0.6180231185
359	0.6178890991
360	0.6177549744
361	0.6176065463
362	0.6174551392
363	0.617306791
364	0.6172104427
365	0.6171131715
366	0.6169650632
367	0.6168110475
368	0.6166952878
369	0.616565926
370	0.6164309547
371	0.6162339528
372	0.6161211286
373	0.6160018776
374	0.6158946955
375	0.6157254101
376	0.6156139737
377	0.6154479508
378	0.615293085
379	0.6151686641
380	0.6150121562
381	0.6148513431
382	0.6146822466
383	0.6145036607
384	0.6143526967
385	0.6141960689
386	0.6140697116
387	0.6139274452
388	0.6138059271
389	0.6136820766
390	0.6135466294
391	0.6134173693
392	0.6132712846
393	0.6131806909
394	0.6130605934
395	0.6129549989
396	0.6128109814
397	0.612674724
398	0.6125285339
399	0.6124017915
400	0.6122706568
401	0.6121482449
402	0.6120137024
403	0.6118610418
404	0.6117007483
405	0.6115872338
406	0.6113911184
407	0.6112405178
408	0.6111177208
409	0.6109949602
410	0.6108421871
411	0.6107165382
412	0.6105931564
413	0.6104222616
414	0.6102761986
415	0.6101661355
416	0.610035771
417	0.6099174645
418	0.6098185621
419	0.6096327754
420	0.6094960458
421	0.6093734233
422	0.6092487444
423	0.6091099221
424	0.6089824095
425	0.6088572657
426	0.6087014879
427	0.6085765984
428	0.6084747423
429	0.6083874621
430	0.608173879
431	0.6080459558
432	0.607934098
433	0.6077852849
434	0.6076605479
435	0.6075491769
436	0.607415212
437	0.6072348858
438	0.6070881326
439	0.6069706363
440	0.6067797343
441	0.6066539873
442	0.6065033577
443	0.6064254942
444	0.6063209098
445	0.6061973681
446	0.6060648382
447	0.6059372166
448	0.605792992
449	0.6056866419
450	0.6055957649
451	0.6054780433
452	0.6053038969
453	0.6051824588
454	0.6050853729
455	0.6049833752
456	0.6048447128
457	0.6047210693
458	0.6046003687
459	0.6045079912
460	0.6043830581
461	0.6042839595
462	0.604153446
463	0.6040568252
464	0.6039312054
465	0.6038053858
466	0.6036900257
467	0.6035944439
468	0.6034549422
469	0.6033100818
470	0.6031830197
471	0.6030079978
472	0.6028801691
473	0.6027458155
474	0.6025993747
475	0.6024777222
476	0.6023688107
477	0.6022744533
478	0.6021839033
479	0.6020300838
480	0.6019148945
481	0.6018201374
482	0.6017202541
483	0.6015990666
484	0.6014473761
485	0.6013259488
486	0.6012003326
487	0.6010998789
488	0.6009712437
489	0.60081115
490	0.6006789979
491	0.6005682518
492	0.6004641796
493	0.6003615061
494	0.600211069
495	0.60009253
496	0.5999662454
497	0.599816949
498	0.5996886371
499	0.5995686595
